"No.","Time","Source","Destination","Protocol","Length","Info"
"114","3.098162729","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=123681 Win=170496 Len=0 TSval=3787928 TSecr=3787896"
"115","3.122562694","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=126577 Win=170496 Len=0 TSval=3787934 TSecr=3787903"
"116","3.136305967","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=132369 Ack=1 Win=29696 Len=2896 TSval=3787944 TSecr=3787918"
"117","3.147717927","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=129473 Win=170496 Len=0 TSval=3787940 TSecr=3787909"
"118","3.172423246","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=135265 Ack=1 Win=29696 Len=2896 TSval=3787953 TSecr=3787928"
"119","3.196987360","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=138161 Ack=1 Win=29696 Len=2896 TSval=3787959 TSecr=3787934"
"120","3.198780064","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=132369 Win=170496 Len=0 TSval=3787953 TSecr=3787922"
"121","3.221972173","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=141057 Ack=1 Win=29696 Len=2896 TSval=3787965 TSecr=3787940"
"122","3.273032446","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=143953 Ack=1 Win=29696 Len=2896 TSval=3787978 TSecr=3787953"
"123","3.286433208","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=135265 Win=170496 Len=0 TSval=3787975 TSecr=3787944"
"124","3.322588627","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=138161 Win=170496 Len=0 TSval=3787984 TSecr=3787953"
"125","3.347380286","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=141057 Win=170496 Len=0 TSval=3787990 TSecr=3787959"
"126","3.348904563","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=146849 Ack=1 Win=29696 Len=1448 TSval=3788000 TSecr=3787975"
"127","3.372404899","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=143953 Win=170496 Len=0 TSval=3787996 TSecr=3787965"
"128","3.397051623","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=148297 Ack=1 Win=29696 Len=2896 TSval=3788009 TSecr=3787984"
"129","3.421716446","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=151193 Ack=1 Win=29696 Len=2896 TSval=3788015 TSecr=3787990"
"130","3.423357602","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=146849 Win=170496 Len=0 TSval=3788009 TSecr=3787978"
"131","3.446707205","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=154089 Ack=1 Win=29696 Len=2896 TSval=3788021 TSecr=3787996"
"132","3.470974863","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=156985 Ack=1 Win=29696 Len=2896 TSval=3788021 TSecr=3787996"
"133","3.497662876","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=159881 Ack=1 Win=29696 Len=2896 TSval=3788034 TSecr=3788009"
"134","3.547622980","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=151193 Win=170496 Len=0 TSval=3788040 TSecr=3788000"
"135","3.572875400","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=154089 Win=170496 Len=0 TSval=3788046 TSecr=3788015"
"136","3.597231083","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=156985 Win=170496 Len=0 TSval=3788052 TSecr=3788021"
"137","3.621259892","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=159881 Win=170496 Len=0 TSval=3788058 TSecr=3788021"
"138","3.621904290","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=162777 Ack=1 Win=29696 Len=2896 TSval=3788065 TSecr=3788040"
"139","3.647207532","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=165673 Ack=1 Win=29696 Len=2896 TSval=3788071 TSecr=3788046"
"140","3.648268162","10.0.0.2","10.0.0.3","TCP","66","34571  >  45266 [ACK] Seq=1 Ack=162777 Win=170496 Len=0 TSval=3788065 TSecr=3788034"
"141","3.671523129","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=168569 Ack=1 Win=29696 Len=2896 TSval=3788077 TSecr=3788052"
"142","3.695726059","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=171465 Ack=1 Win=29696 Len=2896 TSval=3788083 TSecr=3788058"
"143","3.707846599","10.0.0.3","10.0.0.2","TCP","1514","45266  >  34571 [ACK] Seq=174361 Ack=1 Win=29696 Len=1448 TSval=3788083 TSecr=3788058"
"144","3.732113157","10.0.0.3","10.0.0.2","TCP","2962","45266  >  34571 [ACK] Seq=175809 Ack=1 Win=29696 Len=2896 TSval=3788090 TSecr=3788065"
